Pris,Area,Avgift,Rum
4900000,84,4390,3
6270000,75,3944,3
5025000,63,3046,2
3610000,45,2333,2
2695000,40,2661,2
6900000,72,3341,3
2460000,24,1536,1
2875000,32,1011,1
3950000,41,2366,2
6100000,99,5761,4
2800000,27,1533,1
5e+06,76.9,4418,3
7950000,92,4498,4
5940000,59,1912,2
3200000,46,2584,2
4350000,47,2350,2
5750000,65,2427,2
2730000,29,1298,1
2900000,35,2439,2
2900000,34,1912,1
2630000,24,1230,1
5125000,67,2836,2
4120000,52,3221,2
5800000,81.5,4643,3
4e+06,40,2409,2
8650000,79,4609,3
3700000,36,1386,2
5800000,51,1672,2
7e+06,71,4115,3
3920000,34,1207,2
2500000,21,1268,1
6315000,100,4931,4
5275000,62.5,2800,2
5995000,73,2006,2
7750000,98,4464,4
2850000,39,2291,1
4550000,60,3000,2
8850000,84,3606,3
3700000,44.5,2865,2
4250000,42,855,2
3700000,39,1807,2
4100000,40,132,2
2400000,22.5,1288,1
3610000,44,2301,1
6545000,84,3735,3
4990000,62,2435,2
3150000,37,2489,2
5e+06,57,3208,2
3350000,42.5,2362,1
5700000,68,3990,3
2695000,38,1814,2
5350000,55,1826,2
4750000,56,2226,2
3e+06,36,2464,2
6100000,69,3979,3
8500000,86,4861,3
6950000,80,4183,3
7800000,95,3931,4
4775000,52,2874,2
5100000,48,1813,2
3500000,35,1907,1
6700000,75,4160,3
4100000,41,2337,2
5370000,56,3130,2
10700000,91,2786,3
5450000,56,2551,2
5100000,56,3393,2
3900000,46,2193,2
3950000,46,2255,2
2850000,30,2159,1
2955000,42.5,1867,2
3250000,35.5,2327,1
5700000,64,3287,3
6575000,92,4371,3
2700000,31.5,1790,1
3e+06,31,1185,1
3195000,44.2,2943,2
2695000,44.2,2941,2
7700000,81.5,2820,3
5450000,76,2903,3
4600000,46,1617,2
7e+06,74,2719,4
2750000,18,1224,1
3800000,46,2515,2
7200000,82.7,2952,3
6595000,88,4214,4
3500000,45.5,2809,2
4200000,54,3489,2
5900000,57,2969,2
4100000,36,2438,2
7995000,94.3,2887,4
6400000,68,2975,3
2650000,40,2661,2
4900000,46.3,1739,2
6900000,87,4035,3
6800000,97,5462,4
6700000,88.5,4481,3
12900000,135,6208,4
4700000,56.5,2768,2
4250000,44,2545,2
5390000,77,2642,3
8820000,101,5759,5
6100000,58,4180,2
3665000,42,2382,2
5500000,61,2749,3
2700000,29,1715,1
5200000,59,2083,2
7150000,75,3997,3
10700000,108,4417,4
4320000,74,2281,3
6500000,57,1793,2
3e+06,31,664,2
3220000,28,926,1
6050000,79,2943,2
5170000,73,4381,3
7110000,106,4880,4
7625000,90,4182,3
8050000,81,4848,3
3225000,36,2905,2
2410000,31,2288,2
8425000,79,2932,3
5290000,57,2304,2
5600000,39,709,2
6400000,63,3025,2
4050000,69,2948,2
5110000,55,2060,2
8900000,112.5,5845,5
6550000,63,2570,2
4600000,38.5,1809,1
2795000,28,1584,1
4180000,49,2613,2
2900000,32,1278,1
7100000,79,2377,3
13800000,140,1273,5
5495000,61,3320,2
3075000,44.2,2990,2
11300000,113,3178,4
7325000,63,2693,3
3435000,38,1604,2
2300000,24,1920,2
4450000,56,3332,2
3400000,35,2332,2
3400000,37,1545,1
7450000,77,4155,3
3715000,37,2100,1
3560000,49,3357,2
3450000,38,2605,1
3335000,43.5,2534,2
4500000,45,1382,2
3770000,30,976,2
5995000,78.5,4525,3
5640000,59,3289,3
2610000,28,2413,1
2395000,21,1559,1
3050000,41.1,2510,1
5200000,60,2319,2
3100000,38,2043,2
3350000,41.6,1914,2
4425000,70,3208,2
2620000,26.7,1658,1
3610000,38,1770,1
2710000,32,1974,2
3250000,38,2056,1
7400000,99,4254,5
3650000,42,2739,2
4200000,55,2648,2
5950000,50,1083,2
2900000,41,2307,2
3900000,46.4,1823,2
4700000,56,2800,2
2495000,31,1543,1
9050000,111,4114,3
2800000,29.5,1772,1
3375000,38,2302,2
3200000,33,1977,1
3675000,43.5,3133,2
3660000,42,2573,2
3100000,38,2302,2
5600000,75.5,3765,3
3e+06,36,1847,1
5750000,55,1654,2
6900000,64,2711,2
2770000,33,1831,1
3375000,44,2166,2
2700000,25,1093,1
4150000,43,2854,2
5400000,51,2127,2
12050000,150,7500,6
2700000,28,1834,1
2250000,22.5,1069,1
2335000,27,2595,1
5495000,66,2694,2
2860000,31.5,2072,1
3621000,51,2645,2
4200000,40,1377,2
6350000,62,1870,3
3e+06,40,2530,1
5500000,64,2912,2
9025000,115,5499,4
2650000,36,1705,1
2900000,28,911,1
3260000,44,2556,2
3160000,32,1638,2
3900000,44,2251,2
5300000,75,3816,3
5160000,77,3481,2
4200000,44,2044,1
2210000,22,857,1
4800000,63,2737,2
4600000,46,1650,2
6020000,59,1576,2
